#
#
################################################################

HCDataSetFile_version
"1.0"

HCDataSetFile_fields
# unique id, probably the imagename with out the extension, but can be anything as long
#  as it's constant and unique 
"0"	"id"

# full image name and path from the articlesImagePath directory specified in the config.txt file
# probably just the name though, including the extension, the format can be GIF or JPEG
# using any of the standard file extensions
"1"	"imageName"

# This could be body, pants, hair, hats, tops, bottoms, shoes, extras or unknown
"2"	"category"

# This defines which layer the item sits on the order and number of these layers
# are defined in the config.txt file
"3"	"layer"

# co-ordinates that the gifs snap to on the person/alien
"4"	"snapPosX"
"5"	"snapPosY"

# an order number defining in which order the user has placed the articles
# set to -1 if the user is not wearing 
"6" "wearing"

"7" "waldrobe"

HCDataSetFile_data
"3" "girl_body_03.gif" "body" "body" "27" "28" "-1"
"105" "girl_undies_10.gif" "pants" "underware" "40" "77" "-1"
"106" "girl_hose_03.gif" "pants" "underware" "36" "105" "-1"
"107" "girl_hose_04.gif" "pants" "underware" "37" "108" "-1"
"108" "girl_hose_05.gif" "pants" "underware" "37" "107" "-1"
"109" "girl_hose_06.gif" "pants" "underware" "37" "107" "-1"
"110" "girl_hose_07.gif" "pants" "underware" "37" "109" "-1"
"111" "girl_hose_02.gif" "pants" "underware" "37" "107" "-1"
"112" "girl_undies_17.gif" "pants" "underware" "45" "96" "-1"
"113" "girl_undies_18.gif" "pants" "underware" "40" "80" "-1"
"114" "girl_undies_19.gif" "pants" "underware" "39" "70" "-1"
"115" "girl_undies_20.gif" "pants" "underware" "39" "69" "-1"
"116" "girl_undies_21.gif" "pants" "underware" "38" "68" "-1"
"117" "girl_shoes_05.gif" "shoes" "shoes" "36" "128" "-1"
"118" "girl_boots_02.gif" "shoes" "shoes" "36" "116" "-1"
"119" "girl_boots_03.gif" "shoes" "shoes" "37" "118" "-1"
"120" "girl_boots_04.gif" "shoes" "shoes" "37" "118" "-1"
"121" "girl_boots_07.gif" "shoes" "shoes" "35" "116" "-1"
"122" "girl_boots_05.gif" "shoes" "shoes" "35" "116" "-1"
"123" "girl_shoes_11.gif" "shoes" "shoes" "36" "122" "-1"
"124" "girl_shoes_12.gif" "shoes" "shoes" "36" "124" "-1"
"125" "girl_shoes_13.gif" "shoes" "shoes" "37" "125" "-1"
"126" "girl_boots_08.gif" "shoes" "shoes" "34" "118" "-1"
"127" "girl_boots_09.gif" "shoes" "shoes" "34" "118" "-1"
"128" "girl_shoes_06.gif" "shoes" "shoes" "36" "124" "-1"
"129" "girl_shoes_07.gif" "shoes" "shoes" "35" "130" "-1"
"130" "girl_shoes_08.gif" "shoes" "shoes" "35" "130" "-1"
"131" "girl_shoes_09.gif" "shoes" "shoes" "37" "131" "-1"
"132" "girl_shoes_10.gif" "shoes" "shoes" "36" "125" "-1"
"133" "girl_shoes_14.gif" "shoes" "shoes" "36" "125" "-1"
"134" "girl_boots_06.gif" "shoes" "shoes" "35" "116" "-1"
"135" "girl_hat_02.gif" "hats" "hats" "27" "19" "-1"
"138" "girl_hat_04.gif" "hats" "hats" "29" "19" "-1"
"137" "girl_hat_03.gif" "hats" "hats" "29" "18" "-1"
"139" "girl_top_02.gif" "tops" "tops" "36" "68" "-1"
"140" "girl_wrap_02.gif" "extras" "infront" "28" "70" "-1"
"141" "girl_top_03.gif" "tops" "tops" "40" "78" "-1"
"142" "girl_shirt_03.gif" "tops" "tops" "27" "71" "-1"
"143" "girl_top_05.gif" "tops" "tops" "39" "79" "-1"
"144" "girl_shirt_04.gif" "tops" "tops" "26" "67" "-1"
"145" "girl_top_07.gif" "tops" "tops" "39" "69" "-1"
"146" "girl_top_08.gif" "tops" "tops" "38" "70" "-1"
"147" "girl_tee_01.gif" "tops" "tops" "34" "70" "-1"
"148" "girl_tee_02.gif" "tops" "tops" "33" "68" "-1"
"149" "girl_tee_03.gif" "tops" "tops" "33" "69" "-1"
"150" "girl_tee_04.gif" "tops" "tops" "33" "69" "-1"
"151" "girl_tee_05.gif" "tops" "tops" "33" "69" "-1"
"152" "girl_top_10.gif" "tops" "tops" "27" "69" "-1"
"153" "girl_top_04.gif" "tops" "tops" "39" "70" "-1"
"154" "girl_top_06.gif" "tops" "tops" "39" "70" "-1"
"155" "girl_shirt_05.gif" "tops" "tops" "27" "67" "-1"
"156" "girl_top_09.gif" "tops" "tops" "39" "70" "-1"
"157" "girl_top_01.gif" "tops" "tops" "40" "70" "-1"
"158" "girl_jumper_07.gif" "tops" "tops" "27" "66" "-1"
"159" "girl_jumper_08.gif" "tops" "tops" "27" "66" "-1"
"160" "girl_dress_08.gif" "tops" "tops" "30" "67" "-1"
"161" "girl_dress_09.gif" "tops" "tops" "36" "66" "-1"
"163" "girl_dress_11.gif" "tops" "tops" "31" "69" "-1"
"165" "girl_dress_07.gif" "tops" "tops" "37" "66" "-1"
#"166" "cat_black.gif" "extras" "infront" "7" "108" "-1"
"168" "girl_hair_36.gif" "hair" "hair" "18" "20" "-1"
"167" "girl_hat_05.gif" "hats" "hats" "20" "11" "-1"
"169" "girl_hair_37.gif" "hair" "hair" "25" "24" "-1"
"170" "girl_hair_38.gif" "hair" "hair" "21" "24" "-1"
"171" "girl_hair_39.gif" "hair" "hair" "27" "24" "-1"
"172" "girl_hair_40.gif" "hair" "hair" "24" "26" "-1"
"173" "girl_hair_41.gif" "hair" "hair" "27" "22" "-1"
"174" "girl_hair_42.gif" "hair" "hair" "29" "19" "-1"
"175" "girl_hair_43.gif" "hair" "hair" "26" "22" "-1"
"176" "girl_hair_44.gif" "hair" "hair" "26" "24" "-1"
"177" "girl_hair_45.gif" "hair" "hair" "20" "9" "-1"
"178" "girl_hair_46.gif" "hair" "hair" "14" "23" "-1"
"179" "girl_hair_47.gif" "hair" "hair" "25" "22" "-1"
"180" "girl_hair_48.gif" "hair" "hair" "24" "23" "-1"
"181" "girl_hair_49.gif" "hair" "hair" "25" "22" "-1"
"182" "girl_hair_50.gif" "hair" "hair" "28" "24" "-1"
"183" "girl_hair_51.gif" "hair" "hair" "28" "23" "-1"
"184" "girl_hair_52.gif" "hair" "hair" "30" "19" "-1"
"185" "girl_hair_53.gif" "hair" "hair" "30" "19" "-1"
"186" "girl_hair_54.gif" "hair" "hair" "27" "25" "-1"
"187" "girl_hair_55.gif" "hair" "hair" "25" "21" "-1"
"188" "girl_hair_56.gif" "hair" "hair" "29" "22" "-1"
"189" "girl_jumper_06.gif" "tops" "tops" "27" "70" "-1"
"194" "girl_bag_05.gif" "extras" "infront" "57" "77" "-1"
"195" "girl_bag_06.gif" "extras" "infront" "20" "83" "-1"
"196" "girl_bag_07.gif" "extras" "infront" "26" "71" "-1"
"197" "girl_bag_08.gif" "extras" "infront" "14" "86" "-1"
#"198" "computer.gif" "extras" "infront" "2" "100" "-1"
"199" "glasses_01.gif" "extras" "infront" "35" "44" "-1"
"200" "glasses_02.gif" "extras" "infront" "34" "47" "-1"
"201" "glasses_03.gif" "extras" "infront" "36" "48" "-1"
"202" "glasses_04.gif" "extras" "infront" "36" "48" "-1"
"203" "glasses_05.gif" "extras" "infront" "36" "47" "-1"
"204" "glasses_06.gif" "extras" "infront" "36" "47" "-1"
"205" "glasses_07.gif" "extras" "infront" "36" "47" "-1"
"206" "girl_skirt_13.gif" "bottoms" "bottoms" "35" "95" "-1"
"207" "girl_skirt_14.gif" "bottoms" "bottoms" "35" "96" "-1"
"208" "girl_eyes_blue.gif" "extras" "infront" "36" "46" "-1"
"209" "girl_eyes_brown.gif" "extras" "infront" "36" "45" "-1"
"210" "girl_eyes_green.gif" "extras" "infront" "36" "45" "-1"
"211" "bindi.gif" "extras" "infront" "47" "41" "-1"
"212" "girl_headscarf_01.gif" "hats" "hats" "28" "23" "-1"
"213" "girl_headscarf_02.gif" "hats" "hats" "28" "24" "-1"

